node_id,name,jurisdiction,jurisdiction_description,country_codes,countries
10000213,TERZA MANAGEMENT INC.,PMA,Panama,PAN,Panama
10000214,WIDE BALL INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000215,Hetai International Investment Ltd.,SAM,Samoa,HKG,Hong Kong
10000216,HARDWICKES FINANCIAL S.A.,PMA,Panama,JOR,Jordan
10000217,EXCLUSIVE PUBLISHING CORPORATION S.A.,PMA,Panama,JOR,Jordan
10000218,WEALTH BONE DEVELOPMENT LTD.,SAM,Samoa,HKG,Hong Kong
10000219,PERFUMES INTERNACIONALES CO. LTD.,SAM,Samoa,ESP,Spain
10000220,GILANDER INTERNATIONAL LIMITED,SAM,Samoa,TWN,Taiwan
10000221,SAFFRON INVESTMENTS LIMITED,SAM,Samoa,BHS,Bahamas
10000222,TIGERIN LIMITED,SAM,Samoa,HKG,Hong Kong
10000223,STAROIL LTD.,SAM,Samoa,CHE,Switzerland
10000224,REN TRADE LTD.,SAM,Samoa,WSM,Samoa
10000225,UNIONVIEW INVESTMENTS LIMITED,SAM,Samoa,HKG,Hong Kong
10000226,JADE POWER LIMITED,SAM,Samoa,HKG,Hong Kong
10000227,SILVERWING PROPERTIES S.A.,SAM,Samoa,GBR,United Kingdom
10000228,BABA COMMUNICATIONS LTD.,SAM,Samoa,,
10000229,FIRST EURO CORP.,SAM,Samoa,CHE,Switzerland
10000230,BLUE CREST CORPORATION,SAM,Samoa,BLZ,Belize
10000231,C.S Trading Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000232,GOLDMAX DEVELOPMENT LTD.,SAM,Samoa,HKG,Hong Kong
10000233,RICH ASIAN GROUP LTD.,SAM,Samoa,PAN,Panama
10000234,TOP ENTERPRISES LIMITED,SAM,Samoa,HKG,Hong Kong
10000235,WINS TOP ENTERPRISES LIMITED,SAM,Samoa,HKG,Hong Kong
10000236,DELIGHT VIEW INTERNATIONAL LTD.,SAM,Samoa,HKG,Hong Kong
10000237,OUR MEDICAL SERVICES LTD.,SAM,Samoa,HKG,Hong Kong
10000238,TECTANE CHINA CORPORATION,SAM,Samoa,CHN,China
10000239,MARLIN GROUP INC.,SAM,Samoa,SYC,Seychelles
10000243,MANY GROUP LIMITED,SAM,Samoa,HKG,Hong Kong
10000240,UBA Capital (Europe) Limited,SAM,Samoa,HKG,Hong Kong
10000241,Yu Yang Industry & Trading Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000242,RST CORP.,SAM,Samoa,HKG,Hong Kong
10000244,Majestic Capital Limited,SAM,Samoa,HKG,Hong Kong
10000245,NEW ASIA PACIFIC GROUP CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000246,ASIARACK LTD.,SAM,Samoa,HKG,Hong Kong
10000247,PROFIT WORLD LTD.,SAM,Samoa,HKG,Hong Kong
10000248,WORLD UNION INDUSTRIAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000249,Sheng Tang International Co. Ltd,SAM,Samoa,HKG,Hong Kong
10000250,ALL-EXTRA TECHNOLOGY CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000251,SKY MOTION HOLDINGS LIMITED,SAM,Samoa,HKG,Hong Kong
10000252,HAPPY GOAL DEVELOPMENT LIMITED,SAM,Samoa,HKG,Hong Kong
10000253,Y & S HOLDINGS CO. LTD,SAM,Samoa,HKG,Hong Kong
10000254,WSH TRADING CO.LTD.,SAM,Samoa,HKG,Hong Kong
10000255,WAN FENG INDUSTRIAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000256,Cheer Gen Technology Co.Ltd.,SAM,Samoa,HKG,Hong Kong
10000257,CORNWOOD INTERNATIONAL LIMITED,SAM,Samoa,PAN,Panama
10000258,ULTRA POWER INVESTMENT LIMITED,SAM,Samoa,PAN,Panama
10000287,8886 HOLDING LIMITED,SAM,Samoa,HKG,Hong Kong
10000259,STRONG INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000260,FULLWORLD INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000261,GANTON S.A.,SAM,Samoa,CHE,Switzerland
10000262,EASYWEALTH DEVELOPMENT LTD.,SAM,Samoa,HKG,Hong Kong
10000263,CHINA SUNRISE INVESTMENT CO. LIMITED,SAM,Samoa,HKG,Hong Kong
10000264,NEWPORT GROUP CORP.,SAM,Samoa,PAN,Panama
10000265,CROSS CONSULTING LTD.,SAM,Samoa,BLZ,Belize
10000266,MOSSACK FONSECA & CO. (SAMOA) LIMITED,SAM,Samoa,PAN,Panama
10000267,BEST GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000268,HUGH PROFIT LIMITED,SAM,Samoa,PAN,Panama
10000269,LUCINDA ASSOCIATES S.A.,SAM,Samoa,PAN,Panama
10000270,GLOBAL PLAN LIMITED,SAM,Samoa,PAN,Panama
10000271,Network Solution Inc.,SAM,Samoa,HKG,Hong Kong
10000272,WISH INTERNATIONAL LIMITED,SAM,Samoa,PAN,Panama
10000273,POWERFUL ENTERPRISES LIMITED,SAM,Samoa,PAN,Panama
10000274,Winda Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000275,WING SING INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000276,CONDATORRES LTD.,SAM,Samoa,PAN,Panama
10000277,FULANSON LTD.,SAM,Samoa,PAN,Panama
10000280,OMNIA TECHNOLOGIES S.A.,SAM,Samoa,CHE,Switzerland
10000278,GRAND WALL TRADING CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000279,OMEN Industrial Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000281,China Star Steel Industrial And Trading Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000282,QING INTERNATIONAL CORPORATION,SAM,Samoa,HKG,Hong Kong
10000283,CANYEA (HONGKONG) CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000284,Africa Energy Ltd,SAM,Samoa,HKG,Hong Kong
10000285,SHANDONG SHENGTAI WHEEL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000286,WATERSIDE PROPERTIES LIMITED,SAM,Samoa,GBR,United Kingdom
10000288,HAPPY TRADE LIMITED,SAM,Samoa,PAN,Panama
10000289,GOLDGARMENT COMPANY LIMITED,SAM,Samoa,WSM,Samoa
10000290,Dewburn Enterprises Inc.,SAM,Samoa,PAN,Panama
10000291,AMPLE GAIN LIMITED,SAM,Samoa,PAN,Panama
10000292,GENIUS TRADING LIMITED,SAM,Samoa,PAN,Panama
10000293,KENSTER INVESTMENT LIMITED,SAM,Samoa,HKG,Hong Kong
10000294,CAYENNE TRADING LTD.,SAM,Samoa,WSM,Samoa
10000295,FERRET LIMITED,SAM,Samoa,CHE,Switzerland
10000296,MORLAND HOLDING INC.,SAM,Samoa,CHE,Switzerland
10000382,STEBBINGS INVESTMENTS CORPORATION,PMA,Panama,LUX,Luxembourg
10000383,Mesk 1803 Dubai Limited,SAM,Samoa,ARE,United Arab Emirates
10000297,DUNSTONE INCORPORATED,SAM,Samoa,WSM,Samoa
10000298,BRIGHT CROWN TECHNOLOGY LTD.,SAM,Samoa,HKG,Hong Kong
10000299,WINNING IDEA DEVELOPMENT LIMITED,SAM,Samoa,PAN,Panama
10000300,Jade & Victory Limited,SAM,Samoa,HKG,Hong Kong
10000301,INTERACTIVE MANAGEMENT & CONSULTING LTD.,SAM,Samoa,CHE,Switzerland
10000302,TSIM SHA TSUI INVESTMENT LIMITED,SAM,Samoa,HKG,Hong Kong
10000303,GOLD SOURCE INTERNATIONAL LTD.,SAM,Samoa,HKG,Hong Kong
10000304,CHAMPLE INVESTMENTS LTD.,SAM,Samoa,PAN,Panama
10000305,STRONG FIELD LTD.,SAM,Samoa,PAN,Panama
10000306,KANTALIS LTD.,SAM,Samoa,HKG,Hong Kong
10000307,PROUD RISE LIMITED,SAM,Samoa,HKG,Hong Kong
10000308,MIZUNO THODO CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000309,SUPER IMPORT GROUP LIMITED,SAM,Samoa,HKG,Hong Kong
10000310,ZEST INC.,SAM,Samoa,HKG,Hong Kong
10000311,RONGFENG INTERNATIONAL TRADING CO.LTD,SAM,Samoa,CHN,China
10000312,JADEWIN CONSULTANTS LIMITED,SAM,Samoa,PAN,Panama
10000313,DYNA BUSINESS S.A.,PMA,Panama,JEY,Jersey
10000314,FIRST LEEDS PROPERTIES INC.,PMA,Panama,ESP,Spain
10000315,ARTON ENTERPRISES CORP.,PMA,Panama,PAN,Panama
10000316,FIRST DIRECTORS LIMITED,SAM,Samoa,PAN,Panama
10000317,CHARM HONEST INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000318,LUCULLUS INVESTMENT CORPORATION,PMA,Panama,GBR,United Kingdom
10000319,SUPREME VIEW DEVELOPMENT LTD.,SAM,Samoa,WSM,Samoa
10000320,SD POLY CO. LTD,SAM,Samoa,HKG,Hong Kong
10000321,ACROSS NATION LIMITED,SAM,Samoa,HKG,Hong Kong
10000322,INDIGO LIMITED,SAM,Samoa,IMN,Isle of Man
10000323,CARLTON OCEAN DEVELOPMENT LIMITED,SAM,Samoa,PAN,Panama
10000324,FULLINK LIMITED,SAM,Samoa,HKG,Hong Kong
10000325,GAIN BRIGHT LTD.,SAM,Samoa,HKG,Hong Kong
10000326,GOLDEN TONE INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000327,PERFECT WORLD DEVELOPMENT LIMITED,SAM,Samoa,PAN,Panama
10000328,MOSSACK FONSECA & CO. CZECH INC.,SAM,Samoa,WSM,Samoa
10000329,JIN CHENG MINING GROUP CO. LIMITED,SAM,Samoa,HKG,Hong Kong
10000330,QD SEI SHOU TRADING CO.LTD.,SAM,Samoa,HKG,Hong Kong
10000331,ALGA ARCHITECTURE S.A.,SAM,Samoa,CHE,Switzerland
10000332,PINE RICH ENTERPRISES LIMITED,SAM,Samoa,PAN,Panama
10000334,SUNNY POWER LIMITED,SAM,Samoa,TWN,Taiwan
10000335,BALLYDEHOB INC.,PMA,Panama,ESP,Spain
10000336,TOBERMORE INC.,PMA,Panama,ESP,Spain
10000333,CHINA MINING INVESTMENTS HOLDINGS LIMITED,SAM,Samoa,HKG,Hong Kong
10000337,NORTH DALTON INC.,PMA,Panama,ESP,Spain
10000338,WHITBY INC.,PMA,Panama,ESP,Spain
10000340,HOLDERNESS INC.,PMA,Panama,ESP,Spain
10000341,HISSENS LTD.,SAM,Samoa,PAN,Panama
10000342,SHINE OCEAN LIMITED,SAM,Samoa,PAN,Panama
10000343,Mekong Investment Limited,SAM,Samoa,HKG,Hong Kong
10000344,WISE KING INTERNATIONAL LTD.,SAM,Samoa,TWN,Taiwan
10000345,GLOBAL SUCCESS ENTERPRISES LTD.,SAM,Samoa,HKG,Hong Kong
10000346,MAXWELL ENTERPRISES LIMITED,SAM,Samoa,HKG,Hong Kong
10000347,ASIA OCEAN LIMITED,SAM,Samoa,PAN,Panama
10000348,HEATHER TRAIL LIMITED,SAM,Samoa,PAN,Panama
10000349,RAY FORCE HOLDINGS LTD.,SAM,Samoa,HKG,Hong Kong
10000350,RICH SOURCES ENTERPRISES LTD.,SAM,Samoa,HKG,Hong Kong
10000351,GREEN LEAF TECHNOLOGY LIMITED,SAM,Samoa,TWN,Taiwan
10000352,WINS TOP GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000353,SUNBRIDGE INVESTMENTS LIMITED,SAM,Samoa,HKG,Hong Kong
10000354,FAST PERFECT LIMITED,SAM,Samoa,PAN,Panama
10000381,REDHILL FINANCIAL CORP.,PMA,Panama,LUX,Luxembourg
10000355,GOLDEN PROSPER DEVELOPMENT CO. LTD,SAM,Samoa,HKG,Hong Kong
10000356,MIND INTERNATIONAL GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000357,MAIN PROFIT INVESTMENT LTD.,SAM,Samoa,PAN,Panama
10000358,CAYENNE HOLDINGS LTD,SAM,Samoa,HKG,Hong Kong
10000359,ANGLO CANADIAN INVESTMENT CORPORATION,PMA,Panama,GGY,Guernsey
10000360,SEACREST CORPORATION,SAM,Samoa,LUX,Luxembourg
10000361,Upper Time Limited,SAM,Samoa,HKG,Hong Kong
10000362,CAPITAL INVESTMENT HOLDINGS INC.,PMA,Panama,JEY,Jersey
10000363,EVIS INTERNATIONAL CO. LIMITED,SAM,Samoa,HKG,Hong Kong
10000364,LEO MARITIME & TRADING CORP.,SAM,Samoa,HKG,Hong Kong
10000365,MOSSACK FONSECA & CO. PANAMA) LTD.,SAM,Samoa,PAN,Panama
10000366,Hoard Global Financial Ltd.,SAM,Samoa,HKG,Hong Kong
10000367,Beifang Metal Trading Limited,SAM,Samoa,HKG,Hong Kong
10000368,SUN FAITH CO. LTD,SAM,Samoa,HKG,Hong Kong
10000369,CATHAY GROUP CORPORATION,PMA,Panama,HKG,Hong Kong
10000370,WHARRICK INTERNATIONAL INC.,PMA,Panama,PAN,Panama
10000371,CIRCLE ROUND HOLDINGS LIMITED,SAM,Samoa,PAN,Panama
10000378,EVER YOUNG GROUP LIMITED,SAM,Samoa,HKG,Hong Kong
10000379,KEIRA ENTERPRISES CORP.,SAM,Samoa,PAN,Panama
10000380,NELSON HOLDINGS LIMITED,SAM,Samoa,PAN,Panama
10000372,Southeast Mariner International Co. Ltd.,SAM,Samoa,CHN,China
10000373,SUNRICH INTERNATIONAL INVESTMENT LIMITED,SAM,Samoa,CHN,China
10000374,BAODE INTERNATIONAL MACHINERY COMPANY LIMITED,SAM,Samoa,CHN,China
10000375,ZHONGYI WOODEN PRODUCTS CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000376,RAG INTERNATIONAL TRADING INC.,PMA,Panama,JEY,Jersey
10000377,UAS FAR EAST LEASING INC.,PMA,Panama,CHE,Switzerland
10000384,Sarah Investment Limited,SAM,Samoa,ARE,United Arab Emirates
10000385,SENSOR INTERNATIONAL INC.,PMA,Panama,BHS,Bahamas
10000386,TRIUMPH HOLDINGS INCORPORATED,PMA,Panama,JOR,Jordan
10000387,CALNE INC.,PMA,Panama,JEY,Jersey
10000388,GILMOUR EQUITIES A.G.,PMA,Panama,LUX,Luxembourg
10000389,ASIA PACIFIC INTERNATIONAL GROUP CORP.,SAM,Samoa,TWN,Taiwan
10000390,Eastwood Holdings Limited,SAM,Samoa,CHE,Switzerland
10000391,PRISMA HOLDINGS LLC,NEV,Nevada,GBR,United Kingdom
10000392,TAIAN HUALI IMPORT&EXPORT TRADE CO. LTD,SAM,Samoa,CHN,China
10000393,CHINA HOLDING MANAGEMENT S.A.,SAM,Samoa,LBN,Lebanon
10000394,SMART INC.,SAM,Samoa,TWN,Taiwan
10000517,DYNAMIC EARTH GROUP LIMITED,SAM,Samoa,TWN,Taiwan
10000518,Selkirk International Ltd.,SAM,Samoa,HKG,Hong Kong
10000395,VILLETTE ASSOCIATES INC.,PMA,Panama,PAN,Panama
10000396,ANTIGUA EQUITIES S.A.,PMA,Panama,PAN,Panama
10000397,TOLUX INC.,PMA,Panama,LUX,Luxembourg
10000399,SANTORINI GROUP LTD.,SAM,Samoa,WSM,Samoa
10000400,KNIGHT ENTERPRISES LIMITED,SAM,Samoa,TWN,Taiwan
10000402,Hanpo Investment Co. Limited,SAM,Samoa,HKG,Hong Kong
10000403,GCM TRADING CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000404,Sowona International Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000405,SHENGYUAN INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000406,GREEN LINK INTERNATIONAL CORP.,SAM,Samoa,HKG,Hong Kong
10000407,SUNNY EFFORT INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000408,LONGER LIGHTING LIMITED,SAM,Samoa,HKG,Hong Kong
10000409,Elegant House Ware Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000410,HUIJING TRADING LIMITED,SAM,Samoa,HKG,Hong Kong
10000411,HUMAN DIAGNOSTICS CORPORATION,SAM,Samoa,BRA,Brazil
10000412,ASHDALE LIMITED,SAM,Samoa,GBR,United Kingdom
10000413,SEA WEALTH LIMITED,SAM,Samoa,HKG,Hong Kong
10000414,DRAGON FASHION CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000415,TRYER INTERNATIONAL INC.,SAM,Samoa,HKG,Hong Kong
10000416,GREAT OCEAN LIMITED,SAM,Samoa,HKG,Hong Kong
10000417,Giga Sports Inc,SAM,Samoa,SGP,Singapore
10000418,DRAGON STAR INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
